bso_age_band,sex,chapter,ni_starpu_weight
<18,female,BNF1,6.142100000000234
<18,male,BNF1,6.400399999999877
18-44,female,BNF1,7.787299999999984
18-44,male,BNF1,6.012599999999978
45-64,female,BNF1,20.001399999999983
45-64,male,BNF1,14.831599999999973
65+,female,BNF1,32.292799999999964
65+,male,BNF1,27.659099999999995
<18,female,BNF2,1.0578000000005896
<18,male,BNF2,0.9364999999998673
18-44,female,BNF2,3.7239999999999425
18-44,male,BNF2,3.1332999999999633
45-64,female,BNF2,21.734499999999862
45-64,male,BNF2,34.79009999999994
65+,female,BNF2,103.65639999999996
65+,male,BNF2,143.70819999999998
<18,female,BNF3,6.795100000000055
<18,male,BNF3,9.96879999999998
18-44,female,BNF3,10.182799999999999
18-44,male,BNF3,9.056299999999956
45-64,female,BNF3,31.51139999999996
45-64,male,BNF3,23.77559999999996
65+,female,BNF3,51.60939999999996
65+,male,BNF3,51.097199999999965
<18,female,BNF4,6.1183000000004535
<18,male,BNF4,7.214599999999962
18-44,female,BNF4,23.11370000000002
18-44,male,BNF4,20.099499999999896
45-64,female,BNF4,66.17419999999987
45-64,male,BNF4,49.12490000000001
65+,female,BNF4,90.76949999999991
65+,male,BNF4,64.31539999999997
<18,female,BNF5,0.7578000000000109
<18,male,BNF5,0.6364999999999936
18-44,female,BNF5,0.8419000000000003
18-44,male,BNF5,0.3668999999999974
45-64,female,BNF5,1.1436999999999984
45-64,male,BNF5,0.5952000000000001
65+,female,BNF5,1.9785999999999984
65+,male,BNF5,1.2688999999999995
<18,female,BNF6,4.12480000000049
<18,male,BNF6,4.928899999999928
18-44,female,BNF6,10.778899999999952
18-44,male,BNF6,9.282199999999975
45-64,female,BNF6,47.285699999999885
45-64,male,BNF6,45.26049999999994
65+,female,BNF6,58.34589999999991
65+,male,BNF6,88.90379999999996
<18,female,BNF7,1.1816000000000306
<18,male,BNF7,0.21349999999998914
18-44,female,BNF7,5.802400000000005
18-44,male,BNF7,0.295899999999981
45-64,female,BNF7,8.424799999999998
45-64,male,BNF7,2.361699999999995
65+,female,BNF7,12.084999999999988
65+,male,BNF7,11.892999999999997
<18,female,BNF9,18.629300000000068
<18,male,BNF9,19.837599999999988
18-44,female,BNF9,6.058399999999988
18-44,male,BNF9,4.67669999999996
45-64,female,BNF9,13.38449999999997
45-64,male,BNF9,11.164899999999989
65+,female,BNF9,49.2133
65+,male,BNF9,37.87519999999998
<18,female,BNF10,0.4892000000000319
<18,male,BNF10,0.21459999999998836
18-44,female,BNF10,1.9269000000000014
18-44,male,BNF10,0.9338999999999917
45-64,female,BNF10,4.945899999999993
45-64,male,BNF10,3.580399999999997
65+,female,BNF10,5.110799999999996
65+,male,BNF10,4.7542
<18,female,BNF13,3.697000000000078
<18,male,BNF13,3.4631999999999614
18-44,female,BNF13,5.527299999999989
18-44,male,BNF13,4.710199999999982
45-64,female,BNF13,7.347299999999985
45-64,male,BNF13,6.967399999999995
65+,female,BNF13,11.516999999999998
65+,male,BNF13,12.465100000000003
